ID;PART;Population;POP2;Year;Latitude;Longitude;B1;B2;B3;S1U;S1V;S1B;S1G;S1Y;S1R;S2;S3;S4;S5;S6;S7;S8;S9;S10;H1;H2;H3;H4;H5
73;Belly;0;WEST;1970;31,4475;-90,837;8719,603355;21,74464677;51,48110417;0,142961876;0,163482645;0,106353029;0,212711737;0,279498939;0,545416216;9,372077219;0,309045528;0,181333333;4143,459781;45,98807386;-0,299481309;2,114914735;0,848609509;0,383504539;698;419;580;0,112427675;582
74;Belly;0;WEST;1945;33,8341;-91,032;8961,054601;22,34676958;55,85287643;0,121938947;0,140279574;0,11033661;0,200333905;0,272747102;0,574791555;11,92302212;0,315066387;0,179387187;4501,338825;51,1684201;-0,326610283;2,289745725;0,835823537;0,410751044;700;417;584;0,124569767;584
75;Belly;0;WEST;1975;29,8922;-91,217;9601,975673;23,94507649;60,72989583;0,121815669;0,137112076;0,09694856;0,208876739;0,281177535;0,579582371;11,44472938;0,336731636;0,189237288;5007,666967;55,4235322;-0,347255064;2,314610781;0,859237365;0,438010667;697;457;583;0,13582388;581
76;Belly;0;WEST;1980;29,7699;-93,701;9823,721428;24,49805842;49,80424714;0,161748425;0,184446321;0,143210309;0,2274265;0,269313753;0,475113395;6,538697803;0,256254615;0,216083333;3646,399272;42,18740222;-0,178089583;1,722071255;0,745598558;0,372110897;700;415;575;0,150550635;575
77;Belly;0;WEST;1861;27,5514;-99,456;8199,894036;20,44861356;47,08758048;0,125308197;0,144890018;0,123051575;0,227737012;0,282789002;0,531447819;10,1208134;0,289114337;0,139592452;3714,598243;42,43503146;-0,284403766;2,075203355;0,814128396;0,289682725;700;476;578;0,198094656;583
78;Belly;0;WEST;1989;32,7218;-99,303;11067,62704;27,60006743;64,4365625;0,126048573;0,145950974;0,122938465;0,218251294;0,276634859;0,540264136;10,71615463;0,311316118;0,187296296;5081,862195;58,4235322;-0,276502244;2,116789473;0,813762434;0,396466828;697;415;581;0,17220632;579
79;Belly;1;EAST;1911;32,8631;-79,765;7014,384798;17,49223142;39,12681159;0,17198557;0,192900411;0,103232013;0,210643941;0,275311346;0,521491199;7,948576513;0,326158937;0,174956383;3163,918085;34,20431868;-0,255448295;1,955400535;0,855665925;0,342109804;692;399;579;0,049889184;579
80;Belly;1;EAST;1911;32,8587;-79,768;8135,365153;20,28769365;45,18241952;0,139172124;0,157343765;0,118265349;0,234029313;0,286173247;0,515938993;8,584867827;0,27966647;0,17954416;3586,679637;39,91938922;-0,275712085;1,967665222;0,814984335;0,353282798;700;479;575;0,186780389;575
81;Belly;1;EAST;1915;32,1594;-80,76;8006,87738;19,96727526;47,16079167;0,132698602;0,153467971;0,084645376;0,242861583;0,30855354;0,547322516;18,31960677;0,307895165;0,487602996;4034,154678;44,58645739;-0,387327324;2,232976548;0,919714825;1,088806055;698;444;571;0,18132842;569
82;Belly;1;EAST;1934;33,0009;-81,316;8174,130826;20,38436615;53,48817238;0,115959548;0,132184855;0,09453308;0,198133788;0,278096696;0,598693993;12,09398289;0,329311077;0,133906021;4428,176705;49,06546293;-0,372199259;2,407014403;0,875545651;0,322313722;700;399;585;0,11912056;584
83;Belly;1;EAST;1939;33,9271;-78,03;9090,89678;22,67056554;55,15561786;0,130457827;0,146838456;0,097473545;0,218263624;0,287957958;0,56111514;10,58710673;0,305957552;0,174072277;4570,916815;49,94592089;-0,337774274;2,203117554;0,858856375;0,38350169;700;399;580;0,141642048;578
84;Belly;1;EAST;1939;33,8654;-77,993;10294,06617;25,67098796;52,23346833;0,147238949;0,168986151;0,135488417;0,250235579;0,285428704;0,474573214;7,809337135;0,255905098;0,218748762;3975,308562;45,54487653;-0,227452952;1,774177005;0,76779229;0,388099023;700;416;569;0,242335046;578
85;Belly;1;EAST;1939;33,8619;-77,99;10170,32211;25,36239929;57,35935417;0,151142363;0,170311618;0,112517251;0,219553522;0,276712955;0,524136627;7,366186788;0,295766658;0,216544399;4566,599447;49,57250925;-0,25880732;1,954567022;0,829767721;0,423250542;698;397;579;0,121538284;578
86;Belly;1;EAST;1940;32,2745;-80,867;7953,620804;19,83446585;41,47379024;0,166338455;0,188577352;0,126886327;0,229143773;0,276407443;0,485070524;7,225376558;0,262175102;0,190682683;3145,348825;35,73377241;-0,212198393;1,801599937;0,786351408;0,34353391;700;416;574;0,12794582;575
87;Belly;1;EAST;1940;32,2778;-80,857;8702,193497;21,70123067;51,87013499;0,138732425;0,156668615;0,108659814;0,21318441;0,277795645;0,546726114;8,801946083;0,299074669;0,167359443;4140,598218;45,97710469;-0,292850048;2,118640431;0,834166562;0,354574481;700;399;581;0,125289533;579
88;Belly;0;WEST;1933;30,2455;-97,708;9191,612881;22,92172788;46,53104881;0,161477251;0,185932754;0,137060639;0,234498146;0,276940087;0,474591706;6,796302528;0,255260931;0,212537063;3467,001262;39,68452474;-0,196612724;1,731305988;0,770834021;0,36796669;700;416;573;0,163964036;577
89;Coverts;1;EAST;1901;32,8415;-79,828;5252,373645;13,09818864;22,88326471;0,178782921;0,198429478;0,163312259;0,386342971;0,298288335;0,279901505;4,046152573;0,404446549;0,183692615;1427,078192;17,22770321;0,803466221;1,315273713;0,516119224;0,241606068;562;608;663;0,923463821;503
90;Coverts;1;EAST;1886;32,7974;-80,028;4666,811719;11,63793446;20,0857971;0,20335571;0,227762483;0,210534879;0,35894917;0,242876429;0,235790864;3,919718434;0,359243621;0,364434948;903,5502256;14,9615012;0,564161159;1,285580465;0,389800192;0,46851045;529;479;611;1,162708495;498
91;Coverts;1;EAST;1909;32,0041;-81,04;5337,69105;13,31095025;22,39951124;0,181751228;0,201765901;0,171196979;0,37586992;0,288220493;0,279460703;3,860288154;0,390612674;0,180946036;1371,162388;16,59696222;0,923045314;1,246865319;0,491610736;0,225615337;554;607;686;0,920715123;500
